,receiver_user_id,like_list,school,is_985
176,19711197,1,中国农业大学,True
177,19713217,0,哈尔滨商业大学,False
178,19713219,1,北京联合大学,False
179,19714455,1,哈尔滨信息工程学院,False
180,19717135,0,中央财经大学,False
181,19717792,1,哈尔滨学院,False
182,19718750,1,山西工商学院,False
183,19718823,1,哈尔滨商业大学,False
184,19721937,1,中国传媒大学,False
185,19722591,1,西安交通大学,False
186,19723330,1,北京工业大学,False
187,19723728,1,北京工业大学,False
188,19724656,1,哈尔滨商业大学,False
189,19724990,1,北京交通大学,False
190,19725175,1,中央民族大学,True
191,19727428,1,西雅图城市大学,
192,19730793,1,长春建筑学院,False
193,19733030,1,中国地质大学,False
194,19736582,1,中国传媒大学南广学院,False
195,19737661,0,,
196,19737666,1,东北师范大学,True
197,19741155,1,深圳大学,False
198,19741968,1,北京印刷学院,False
199,19743342,1,中央大学（韩国）,False
200,19749716,1,弗朗索瓦艺术学院,
201,19755359,1,沈阳城建学院,False
202,19755834,1,北京电影学院,False
203,19762900,0,新疆财经大学,False
204,19764065,1,华中师范大学武汉传媒学院,False
205,19764942,1,首都医科大学,False
206,19765205,1,石家庄医学高等专科学校,False
207,19765544,1,安徽农业大学,False
208,19770816,0,拉夫堡大学,False
209,19771062,1,中国矿业大学,False
210,19772440,0,首都师范大学,False
211,19773895,1,北京联合大学,False
212,19776115,1,辽宁对外经贸学院,False
213,19776155,1,河北师范大学,False
214,19776288,1,北京服装学院,False
215,19780752,0,常德职业技术学院,False
216,19781089,1,山西农业大学,False
217,19783974,1,国家开放大学,
218,19785690,1,北京交通大学,False
219,19788137,1,北京服装学院,False
220,19790771,1,北京石油大学,False
221,19792079,1,北京中医药大学,False
222,19793277,1,首都体育学院,False
223,19794043,0,北京首都医科大,
224,19794215,1,石家庄师范学校,
225,19795509,1,北京师范大学,True
226,19795702,1,北京交通大学,False
227,19796131,1,中南民族大学,False
228,19799492,1,中国传媒大学,False
229,19799967,1,烟台大学,False
230,19803734,1,北京教育学院,
231,19804480,0,嘉悦大学,False
232,19804681,0,黑河学院,False
233,19805787,1,中国音乐学院,False
234,19805960,1,北京城市学院,False
235,19806957,0,广州民航职业技术学院,False
236,19807716,1,纽卡斯尔大学,False
237,19811463,1,河北政法职业学院,False
238,19812523,1,北京工商大学,False
239,19814605,1,南昌理工学院,False
240,19815314,1,重庆科技学院,False
241,19816215,1,国家开放大学,
242,19817372,0,河北师范大学,False
243,19821652,1,北京航空航天大学,True
244,19821693,1,九江学院,False
245,19822726,1,西北工业大学,True
246,19824435,0,上海中医药大学,False
247,19829398,1,同济大学,True
248,19829902,1,中国传媒大学,False
249,19829939,1,伦敦城市大学,False
250,19833073,1,北京交通大学,False
251,19833495,1,吉林大学,True
252,19833609,0,北京师范大学,True
253,19834281,1,中国农业大学,True
254,19835172,1,北京舞蹈学院,False
255,19835616,1,陕西师范大学,False
256,19837297,1,哈尔滨医科大学,False
257,19838841,1,中国戏曲学院,False
258,19841011,1,哈尔滨师范大学,False
259,19843204,1,西南林业大学,False
260,19845232,1,加拿大西安大略大学,False
261,19850545,1,伍伦贡大学,False
262,19853243,1,秦皇岛职业技术学院,False
263,19853261,0,河北传媒学院,False
264,19854551,1,北京城市学院,False
265,19857154,0,同济大学,True
266,19860867,1,中国海洋大学,True
267,19860957,0,北京中医药大学,False
268,19863445,1,集美大学,False
269,19868439,1,,
270,19869323,1,,
271,19869578,1,,
272,19870442,1,,
273,19872023,1,,
274,19873627,1,,
275,19873761,1,,
276,19874628,1,,
277,19876819,1,,
278,19879248,0,,
279,10517668,1,威斯敏斯特大学,False
280,11471702,1,北京化工大学,False
281,11545781,1,中国传媒大学,False
282,11560130,0,北京理工大学,True
283,11612774,1,云南大学滇池学院,False
284,11636447,1,北京科技大学,False
285,12052381,0,马德里卡洛斯三世大学,False
286,13696983,0,内蒙古医科大学,False
287,14558214,1,辽宁对外经贸学院,False
288,15157449,1,北京服装学院,False
